,F,NEPkid,MDLF,eta_circuit,W_F_spec,NEFD_line,NEFD_continuum,Pkid,pwv,EL
0,219920770171.32318,4.842343843188514e-18,9.473283255713041e-20,0.11262445117608087,503886567.51900727,4.280556545087525e-27,2.1402782725437625e-27,2.8201353587919338e-14,0.5,60.0
1,220540079725.80313,4.146585410932742e-18,8.430466831348569e-20,0.10961249121976917,355135978.546213,5.4049222117629976e-27,2.7024611058814988e-27,2.0524687916938818e-14,0.5,60.0
2,221153435420.13788,5.7016149428570154e-18,7.424210026484697e-20,0.170767534468538,554094783.3470328,3.0506942559395224e-27,1.5253471279697612e-27,3.8392895037866886e-14,0.5,60.0
3,221295899049.6304,4.13468087183838e-18,1.0670258545160396e-19,0.0884114622088098,380530975.8279986,6.3843608288540094e-27,3.1921804144270047e-27,1.991087600310488e-14,0.5,60.0
4,221850936492.1071,4.41990213239265e-18,1.301590189379542e-19,0.0796952318234124,407442929.99368656,7.273441943429438e-27,3.636720971714719e-27,2.2104672538743445e-14,0.5,60.0
5,222133725062.93417,7.26956253832849e-18,7.203113763951759e-20,0.2301285507897409,553347654.9865599,2.9638396014822675e-27,1.4819198007411337e-27,5.983765922031311e-14,0.5,60.0
6,222263982547.1264,5.022099391050457e-18,1.9462906198977713e-19,0.061372823396163706,723049681.6513491,6.128751982958962e-27,3.064375991479481e-27,2.8185965379551622e-14,0.5,60.0
7,222789081052.0237,7.308381635300037e-18,1.0376478457378874e-19,0.1618612615728051,749420014.0735261,3.152515263612001e-27,1.5762576318060005e-27,6.106125859096458e-14,0.5,60.0
8,223243161973.48566,5.122215452490246e-18,1.07920868222156e-19,0.11256011855070827,398774125.77141833,6.161847637155279e-27,3.0809238185776396e-27,2.921901491982122e-14,0.5,60.0
9,223866410250.73962,5.226639833334603e-18,1.104753875513478e-19,0.11218324449728226,423719389.6068393,5.936352647701233e-27,2.9681763238506165e-27,3.074292006829648e-14,0.5,60.0
10,224431629233.56906,7.138283434663375e-18,9.512019399974112e-20,0.17750112298163845,608398827.0816563,3.559728336271799e-27,1.7798641681358994e-27,5.689306796806797e-14,0.5,60.0
11,224761981138.4737,4.201314807794963e-18,2.5796480469143012e-19,0.04069914197174294,536071663.0194531,1.095645609695621e-26,5.478228048478105e-27,1.9215678774121662e-14,0.5,60.0
12,225078045885.84723,7.796913740807434e-18,9.504996679559795e-20,0.19329087807497722,679831130.3206288,3.1833428729294608e-27,1.5916714364647304e-27,6.865307457163569e-14,0.5,60.0
13,225252516015.92288,6.28981381089968e-18,1.1508366291641786e-19,0.13311653085695066,508923543.58810353,5.148653086121427e-27,2.5743265430607135e-27,4.3555886661054794e-14,0.5,60.0
14,226137923911.69205,5.5873827734732476e-18,1.0947840746306626e-19,0.1267787652285159,342655607.7529061,7.2744995948661e-27,3.63724979743305e-27,3.439837036759882e-14,0.5,60.0
15,226554230293.93018,6.876606005570149e-18,7.54778065603754e-20,0.22360052312905596,367611878.3209426,4.67479134467803e-27,2.337395672339015e-27,5.165407412666637e-14,0.5,60.0
16,226842253848.03336,6.081219488711992e-18,1.5033650262001996e-19,0.10238841514058081,481213988.4060866,7.113096421590372e-27,3.556548210795186e-27,4.0071889360812224e-14,0.5,60.0
17,227245600594.05423,6.645745878483294e-18,1.6030454952093608e-19,0.10578748770202596,579605921.1067755,6.297171641378352e-27,3.148585820689176e-27,4.7366109045568895e-14,0.5,60.0
18,227656557799.65427,8.625799849793609e-18,8.905787525729771e-20,0.2410452636300482,548406783.0852685,3.6974474316082094e-27,1.8487237158041047e-27,7.925324102720786e-14,0.5,60.0
19,228157707487.2402,7.58226600590276e-18,1.9647317514834768e-19,0.10008305609724118,506903066.69002324,8.824921308696872e-27,4.412460654348436e-27,5.912214975903794e-14,0.5,60.0
20,228590044220.95508,9.808251534551687e-18,1.1259286163942097e-19,0.22333817551637974,555305608.0401567,4.616483569572312e-27,2.308241784786156e-27,9.880590918926901e-14,0.5,60.0
21,229321370394.67935,1.2653586152624268e-17,1.905423338622325e-19,0.17222597685077948,528007052.96057016,8.216450686850824e-27,4.108225343425412e-27,1.5435253768788268e-13,0.5,60.0
22,229907158248.4968,2.2373411154894223e-17,8.242724399397692e-19,0.07594605590285346,489629731.6011645,3.832970653593428e-26,1.916485326796714e-26,4.585635025092808e-13,0.5,60.0
23,230136650020.13947,2.1605563281945848e-17,3.3691464736345935e-19,0.17311475698251907,504053635.311757,1.5218632769091136e-26,7.609316384545568e-27,4.339314672155667e-13,0.5,60.0
24,230384940724.87216,1.700305909668661e-17,2.639674452318138e-19,0.17258047880958302,397486571.98065376,1.5120299854517284e-26,7.560149927258642e-27,2.7013480479537995e-13,0.5,60.0
