,F,PWV,EL,eta_atm,eta_atm_cont,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_forward_cont,eta_sw,eta_sw_cont,eta_window,eta_window_cont,eta_inst,eta_inst_cont,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_filter,Tb_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,n_ph_cont,NEPkid,NEPinst,NEPinst_cont,NEFD_line,NEFD_continuum,NEF,NEF_cont,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,equivalent_Trx_cont,skycoup,eta_Al_ohmic,eta_Al_ohmic_cont,chi_sq,poisson_term,bunching_term,r_term
0,220000000000.0,0.5,60.0,0.9666590131658608,0.966420269168564,500.0,440000000.0,880000000.0,0.000106659009844,0.000106659009844,1.100519893882003,0.6,0.9738773275602438,0.973873673498111,0.5180187289691318,0.5178888463124145,0.9730190562959627,0.9729902544350256,0.1639342506047438,0.1639293980672131,0.32,13.823103962834423,16.85284762242042,17.18875046529132,21.060820720099905,28.426912983918022,20.36804373649904,17.33705300877021,8.204548891102657,4.8166591279854086e-14,1.7593127548907422e-14,2.97586495446651e-14,8.782947259370418e-16,0.3804045180176487,0.3809430545456552,6.225563091037809e-18,3.7975975539413344e-17,3.797709968095685e-17,2.1213919630288816e-27,1.0609934020952151e-27,9.334124637327081e-19,9.336741938437897e-19,4.0995963635898193e-20,0.0060930949789596,5.0,10.0,0.36,3.6000000000000005,44.57143071502179,44.50813886135786,0.4988311941720389,0.9987281447488644,0.998727498213946,0.0,1.4077422661337418e-35,3.4454606602400574e-36,1.450822064577148e-35
1,220440000000.0,0.5,60.0,0.9665895004393869,0.9663456241234112,500.0,440880000.0,881760000.0,0.000106659009844,0.000106659009844,1.096130985416396,0.6,0.97387015973374,0.9738666029460435,0.5159119542379955,0.5157799028158647,0.9729651707212994,0.9729370706768198,0.1639251719631245,0.1639204376676306,0.32,13.850535953423392,16.88032824180238,17.216531778627573,21.089608771066175,28.4695101865066,20.39773235834576,17.362677799522505,8.217794072373744,4.839771225533523e-14,1.7688555134415193e-14,2.9894754850900986e-14,8.781551399172285e-16,0.3801296915226653,0.3806935883321877,6.24309394898375e-18,3.808502302738565e-17,3.8086122986338105e-17,2.131907473684036e-27,1.066257439720241e-27,9.399153669978176e-19,9.401831600477197e-19,4.128157454869669e-20,0.0060331355386668,5.0,10.0,0.36,3.6000000000000005,44.66646721547953,44.60181323464181,0.4988002433480689,0.9987268768794612,0.9987262475465184,0.0,1.4172816858196165e-35,3.461100496005509e-36,1.457783641095329e-35
2,220880880000.0,0.5,60.0,0.9665009032860848,0.9662506924459044,500.0,441761760.0,883523519.9999999,0.000106659009844,0.000106659009844,1.0917595800578448,0.6,0.9738629848046438,0.9738595146950266,0.5138035957842503,0.5136687503359847,0.9729111774463504,0.9728837005455816,0.1639160751761611,0.1639114458679196,0.32,13.883690783163896,16.913381566704203,17.249872623266743,21.1238271577696,28.517390045291105,20.43090134715244,17.391150387105988,8.232055464324384,4.8628370247426936e-14,1.7790455172081672e-14,3.002413824516091e-14,8.777861145009689e-16,0.3799318528535124,0.3805249135736423,6.26074286452753e-18,3.8194807054763165e-17,3.819588578074321e-17,2.142541191785038e-27,1.071582083418309e-27,9.464927677554557e-19,9.46767974310678e-19,4.157045743033355e-20,0.0059733976360779,5.0,10.0,0.36,3.6000000000000005,44.75736366162634,44.691028583898,0.4987691881586348,0.9987256077458933,0.9987249937407656,0.0,1.426843778695659e-35,3.478382727909231e-36,1.4647312721276638e-35
3,221322641760.0,0.5,60.0,0.96637774901469,0.9661377184850554,500.0,442645283.5199999,885290567.0399998,0.000106659009844,0.000106659009844,1.0874056080033991,0.6,0.9738556829867796,0.973852410542676,0.5116854848998288,0.5115566726110139,0.9728561733622224,0.9728301572628428,0.1639068080880672,0.1639024248956437,0.32,13.921934788593436,16.951391579254793,17.28815846913199,21.1628759752898,28.56996991082152,20.46716746683472,17.42215737190318,8.247222605031313,4.88601315686255e-14,1.78987198916331e-14,3.0148426083826785e-14,8.772389910040303e-16,0.3798634315392449,0.3804276685811573,6.278684153616287e-18,3.8306426846179234e-17,3.8307451263237305e-17,2.1533906539320653e-27,1.076995244713769e-27,9.53188216539077e-19,9.534537308920361e-19,4.186452504301754e-20,0.0059133575412099,5.0,10.0,0.36,3.6000000000000005,44.841890846571104,44.778271127470894,0.4987380363217858,0.9987243161596016,0.9987237371145832,0.0,1.4364738728872648e-35,3.498201642902784e-36,1.4717121364482633e-35
4,221765287043.52,0.5,60.0,0.9663280640277968,0.9660507152150872,500.0,443530574.08704007,887061148.1740801,0.000106659009844,0.000106659009844,1.0830689997284857,0.6,0.9738483738547316,0.9738452918648486,0.509614839292242,0.5094669608153453,0.9728010581309036,0.9727764509015,0.1638975222738946,0.1638933764478847,0.32,13.9529033316399,16.98232604277048,17.319387632257733,21.195042947968687,28.615960363656907,20.49911156837637,17.449637526576378,8.261141069454764,4.9072243411151066e-14,1.7991402941936515e-14,3.0268780576835445e-14,8.765505091893655e-16,0.3794994692270814,0.3802248480073682,6.294958661493752e-18,3.840789399472456e-17,3.8408865555927086e-17,2.1635402780865152e-27,1.08211150717381e-27,9.595962616001464e-19,9.598990760059841e-19,4.214596973387826e-20,0.0058580060622006,5.0,10.0,0.36,3.6000000000000005,44.92816800582921,44.85462561200339,0.4987067937213571,0.99872302327145,0.9987224779113032,0.0,1.4455623211180188e-35,3.512542698951802e-36,1.4781011403847512e-35
5,222208817617.60703,0.5,60.0,0.966209291142598,0.965926569906629,500.0,444417635.23521405,888835270.4704281,0.000106659009844,0.000106659009844,1.078749685985799,0.6,0.9738411773431508,0.9738381597354576,0.5075163408395377,0.5073662649843318,0.9727467368829124,0.9727225892806288,0.163888370230033,0.1638843018420003,0.32,13.994319350401025,17.023433258000054,17.360764545799025,21.23711775723229,28.671537715211485,20.53736363506963,17.482274611555006,8.276899038971555,4.929864635079373e-14,1.8101562927917465e-14,3.0386054326367124e-14,8.757476576402723e-16,0.3794216987293408,0.3801697838856983,6.312513235109245e-18,3.8517151804298406e-17,3.8518107983247184e-17,2.1743175418094837e-27,1.0875073422924498e-27,9.663050601814145e-19,9.66614882725086e-19,4.2440623676657614e-20,0.0058000781733687,5.0,10.0,0.36,3.6000000000000005,45.00914523406696,44.93417987797625,0.4986754649282121,0.9987217502963902,0.9987212163208756,0.0,1.4551051213441706e-35,3.5318281411438484e-36,1.4849206053207328e-35
6,222653235252.84225,0.5,60.0,0.966092549998552,0.965784906617687,500.0,445306470.5056845,890612941.0113689,0.000106659009844,0.000106659009844,1.0744475978041912,0.6,0.9738339737022595,0.9738310150081516,0.5054275351846406,0.5052650512889255,0.9726923070752432,0.9726685785769508,0.1638791998960369,0.1638752021186446,0.32,14.040666149009096,17.06934633589015,17.40693602244574,21.283876943646245,28.7316665388244,20.57861433810881,17.517364882902463,8.29353575225317,4.9530330512056286e-14,1.82195326759763e-14,3.050088701762477e-14,8.74850711311875e-16,0.3793351212750551,0.380183310699307,6.330413296924933e-18,3.8628534316379824e-17,3.862947666933616e-17,2.18524655782799e-27,1.0930013097481667e-27,9.731044318510785e-19,9.734411110040929e-19,4.273925563685428e-20,0.0057422076929846,5.0,10.0,0.36,3.6000000000000005,45.09397981205862,45.01239159753262,0.4986440535563756,0.9987204760523444,0.9987199524942278,0.0,1.4648384552698248e-35,3.551741768935001e-36,1.491899145513037e-35
7,223098541723.34796,0.5,60.0,0.9659447585977916,0.9656123886732192,500.0,446197083.4466959,892394166.8933917,0.000106659009844,0.000106659009844,1.0701626664875743,0.6,0.9738267629250402,0.9738238583723358,0.5033311358863927,0.5031564449941884,0.9726377684909214,0.9726144237423268,0.1638700112353504,0.1638660781121072,0.32,14.095680627437806,17.12370558219997,17.46153325661308,21.338865524651094,28.79976049257484,20.62510665627638,17.556740456978016,8.311703136853156,4.9775105524262835e-14,1.8352617053988048e-14,3.0613768015714833e-14,8.738751998647637e-16,0.3793715275262612,0.3803180867385943,6.3492533304157826e-18,3.8745669708272425e-17,3.8746599684115266e-17,2.196609041381972e-27,1.0987122117729344e-27,9.801205477372784e-19,9.804843688807037e-19,4.304740711641097e-20,0.0056829554640434,5.0,10.0,0.36,3.6000000000000005,45.18008100339769,45.09192421807446,0.4986125625062051,0.9987192005380472,0.998718686553297,0.0,1.474994502987439e-35,3.573878709095395e-36,1.4992719941853268e-35
8,223544738806.79465,0.5,60.0,0.9657731556386244,0.965398888998472,500.0,447089477.6135893,894178955.2271786,0.000106659009844,0.000106659009844,1.0658948236138248,0.6,0.973819545004468,0.9738166903922972,0.5012310584705214,0.5010353473855623,0.9725831209125294,0.9725601287968612,0.1638608042113429,0.1638569304996951,0.32,14.162192391398424,17.189270921967477,17.527309478695518,21.404773049743564,28.87840972169344,20.678542142114708,17.60179099092481,8.33189571277669,5.0038977893083954e-14,1.8506429784342156e-14,3.0725078115059435e-14,8.72833221677415e-16,0.3795015130043419,0.3806137127740843,6.369363440591862e-18,3.887057354104548e-17,3.887149247314694e-17,2.208506311415553e-27,1.1047106073524248e-27,9.873999330770945e-19,9.878089767107733e-19,4.3367121528075684e-20,0.005621891981735,5.0,10.0,0.36,3.6000000000000005,45.27279852183352,45.17350902208102,0.4985809941351417,0.998717923752233,0.9987174185978376,0.0,1.4857533208773273e-35,3.5981922104506994e-36,1.507220072817124e-35
9,223991828284.40823,0.5,60.0,0.9655221139838572,0.9651165251096774,500.0,447983656.5688165,895967313.1376331,0.000106659009844,0.000106659009844,1.0616440010336854,0.6,0.9738123199335108,0.9738095115355518,0.499098660346858,0.4988875641823347,0.9725283641222175,0.9725056970395872,0.1638515787873112,0.1638477598372296,0.32,14.248000431951214,17.27364614418176,17.6118499158341,21.489008107077424,28.974751639851146,20.743610042611127,17.656346541207256,8.355475384764828,5.0337166733800417e-14,1.869587834020041e-14,3.083511811242927e-14,8.717343439829701e-16,0.3799452307165332,0.3811798197857508,6.3919121706751515e-18,3.901037889279187e-17,3.9011288143487775e-17,2.2214764451671806e-27,1.111234113359452e-27,9.951851408874896e-19,9.956294428135482e-19,4.370905192722263e-20,0.0055564365695617,5.0,10.0,0.36,3.6000000000000005,45.3695034008357,45.261899833262106,0.4985493503804342,0.9987166456936342,0.9987161487105396,0.0,1.497570303701446e-35,3.628015538256326e-36,1.5162017951692113e-35
