,F,PWV,EL,eta_atm,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_sw,eta_window,eta_inst,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_KID,psd_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,NEPkid,NEPinst,NEFD_line,NEFD_continuum,NEF,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,skycoup,eta_Al_ohmic
0,220000000000.0,0.5,60.0,0.9666583892894499,500.0,440000000.0,880000000.0,0.0001066590098440979,0.0001066590098440979,1.100519893882003,0.6,0.9738772580404289,0.5180183576641724,0.9730185361818026,0.16393416297591015,0.32,13.754060176621076,16.784834311108902,17.120700263124853,20.99334465978785,28.354292603360907,20.31942600050446,8.191729556488903,5.545248913468586e-23,4.879819043852356e-14,1.773410390010246e-14,3.023392069031871e-14,8.946939093659379e-16,0.3804016064913594,6.445793173559777e-18,3.931940149965554e-17,2.196439220733703e-27,1.0982196103668515e-27,9.664332571228293e-19,4.2446254153378975e-20,0.005683834268683433,5.0,10.0,0.36000000000000004,3.6000000000000005,46.890656623624594,0.15963121620060922,0.998728132452327
1,220440000000.0,0.5,60.0,0.9665865480048383,500.0,440880000.0,881760000.0,0.0001066590098440979,0.0001066590098440979,1.096130985416396,0.6,0.9738700712027539,0.5159103314923814,0.9729645070919778,0.16392506015485647,0.32,13.780841508848539,16.811680897593465,17.147854478966412,21.02154150996015,28.396560099360535,20.34892504244178,8.204876386167498,5.55244142098642e-23,4.895920747368986e-14,1.7802643946592603e-14,3.032808928016267e-14,8.9318505438439e-16,0.3801347398250331,6.459753016847864e-18,3.940674483050654e-17,2.205901201829124e-27,1.102950600914562e-27,9.725377218624242e-19,4.2714365437730457e-20,0.005635178426965029,5.0,10.0,0.36000000000000004,3.6000000000000005,46.94532301902344,0.15962115378688427,0.998726861220078
2,220880879999.99997,0.5,60.0,0.9664951669201718,500.0,441761759.99999994,883523519.9999999,0.0001066590098440979,0.0001066590098440979,1.0917595800578448,0.6,0.9738628772263596,0.5138004895053505,0.972910369741021,0.16391593909396726,0.32,13.813130874205166,16.843888298679254,17.180356202636776,21.054958371510118,28.443885315080834,20.381754478921724,8.218999841806378,5.560793082903524e-23,4.913091478598573e-14,1.7881562718203614e-14,3.042257415403086e-14,8.916706586997632e-16,0.3799466233139445,6.47452083626096e-18,3.9499031467277533e-17,2.2157151748263494e-27,1.1078575874131747e-27,9.788182352899956e-19,4.299020887254152e-20,0.005585369667384448,5.0,10.0,0.36000000000000004,3.6000000000000005,47.003053707774264,0.1596110725551085,0.9987255887172317
3,221322641759.99997,0.5,60.0,0.9663681548869162,500.0,442645283.5199999,885290567.0399998,0.0001066590098440979,0.0001066590098440979,1.0874056080033991,0.6,0.9738556761042003,0.5116804013074487,0.9728561239119674,0.16390679975668832,0.32,13.855446692289075,16.88585426146841,17.222591997247658,21.097876109711873,28.50039252851371,20.42062468105622,8.234887690324282,5.571252192967208e-23,4.932177013034782e-14,1.7979315743528432e-14,3.051737642821277e-14,8.901507387080582e-16,0.37990144933462544,6.490738270228416e-18,3.960017692898404e-17,2.2261407582321735e-27,1.1130703791160868e-27,9.85390707083108e-19,4.327887527147827e-20,0.005533176756915775,5.0,10.0,0.36000000000000004,3.6000000000000005,47.066282513349464,0.15960097246911253,0.9987243149425182
4,221765287043.52002,0.5,60.0,0.9663336723197249,500.0,443530574.08704007,887061148.1740801,0.0001066590098440979,0.0001066590098440979,1.0830689997284857,0.6,0.9738484678292225,0.5096178461282675,0.972801769387419,0.1638976421063924,0.32,13.871792153258363,16.902548335774025,17.239620507597063,21.11619623120979,28.533223640460886,20.443942973575368,8.246265338150712,5.57626347101331e-23,4.946486677118249e-14,1.8029003785516116e-14,3.0612497223036455e-14,8.886253109850627e-16,0.3794841979758483,6.503308529050328e-18,3.967908534540585e-17,2.2351340805059166e-27,1.1175670402529583e-27,9.913503018882977e-19,4.354062379253531e-20,0.005488739574086132,5.0,10.0,0.36000000000000004,3.6000000000000005,47.115590489530355,0.15959085349265678,0.9987230398946663
5,222208817617.60703,0.5,60.0,0.9662124101825192,500.0,444417635.23521405,888835270.4704281,0.0001066590098440979,0.0001066590098440979,1.078749685985799,0.6,0.9738412523943658,0.5075180182763804,0.9727473059495432,0.16388846610637908,0.32,13.912530055427254,16.942981536277895,17.2803280741626,21.1576257737836,28.588349420279858,20.4819191700642,8.261911675867257,5.586397230035009e-23,4.9653868929134176e-14,1.8124277834888382e-14,3.070793766288356e-14,8.870943922864598e-16,0.3794150056466373,6.5193643760644665e-18,3.9779275082315944e-17,2.2455577758573e-27,1.12277888792865e-27,9.979654765305483e-19,4.383116572294227e-20,0.00543790128269679,5.0,10.0,0.36000000000000004,3.6000000000000005,47.17814465157233,0.15958071558943118,0.9987217635724033
6,222653235252.84222,0.5,60.0,0.9660951727073184,500.0,445306470.50568444,890612941.0113689,0.0001066590098440979,0.0001066590098440979,1.0744475978041912,0.6,0.9738340297925633,0.505428936410149,0.9726927333800722,0.16387927171987463,0.32,13.952154949476757,16.982333572644123,17.31995756267079,21.198005014972008,28.64248910142223,20.519254295638397,8.277380900308806,5.596300387162458e-23,4.984137546593819e-14,1.8217741726135605e-14,3.0803698876203347e-14,8.85557999547926e-16,0.37932894697231667,6.535294528090876e-18,3.9878713515775904e-17,2.2559639237497393e-27,1.1279819618748697e-27,1.0045953324731515e-18,4.4122352463739894e-20,0.005387849867633153,5.0,10.0,0.36000000000000004,3.6000000000000005,47.240184075712435,0.15957055872305567,0.9987204859744555
7,223098541723.34793,0.5,60.0,0.965945755459801,500.0,446197083.44669586,892394166.8933917,0.0001066590098440979,0.0001066590098440979,1.0701626664875745,0.6,0.9738268000167423,0.5033316744989823,0.9726380514603025,0.1638700589100318,0.32,14.00083234432287,17.030498770485323,17.368378157727953,21.246965490517063,28.704921933307627,20.562046380528763,8.29444530077473,5.60810653921344e-23,5.00464156291076e-14,1.8328421094380218e-14,3.0899781995527324e-14,8.840161498852266e-16,0.3793704517517587,6.552542414390319e-18,3.9986208938801965e-17,2.2669365313882175e-27,1.1334682656941087e-27,1.0115004686641918e-18,4.442562965703638e-20,0.00533581869153913,5.0,10.0,0.36000000000000004,3.6000000000000005,47.30718286759265,0.1595603828570795,0.9987192070995481
8,223544738806.79465,0.5,60.0,0.9657704811223747,500.0,447089477.6135893,894178955.2271786,0.0001066590098440979,0.0001066590098440979,1.0658948236138248,0.6,0.9738195630598208,0.5012296797041921,0.9725832599710932,0.16386082763992982,0.32,14.056782752106914,17.085747133457104,17.423864334398186,21.302823941259266,28.774025182795427,20.60922904887023,8.312794934084538,5.621442579354364e-23,5.026575652476661e-14,1.8453082305945616e-14,3.0996188157486063e-14,8.824688605942968e-16,0.37951356503885497,6.570858054039235e-18,4.0100237187121595e-17,2.2783782810909524e-27,1.1391891405454762e-27,1.0186389554991013e-18,4.4739155732667504e-20,0.005282361540300972,5.0,10.0,0.36000000000000004,3.6000000000000005,47.37817286468869,0.15955018795498108,0.9987179269464045
9,223991828284.40826,0.5,60.0,0.9655228061567283,500.0,447983656.56881654,895967313.1376331,0.0001066590098440979,0.0001066590098440979,1.0616440010336854,0.6,0.9738123189147116,0.4990990176233975,0.972528358692866,0.16385157787257412,0.32,14.133061754305258,17.1607919969959,17.49909740814648,21.377958727596994,28.861722737256756,20.668638119588127,8.3347066134996,5.639050322109742e-23,5.05240476574857e-14,1.8616370503837582e-14,3.109291850282113e-14,8.809161491513135e-16,0.379942410180785,6.5921003310794806e-18,4.0232144338616606e-17,2.291049191142817e-27,1.1455245955714086e-27,1.0263525940271887e-18,4.507794277150062e-20,0.005224093704112763,5.0,10.0,0.36000000000000004,3.6000000000000005,47.460156070548024,0.15953997398016828,0.9987166455137472
